Messier,NGC,Object type / Type d'objet,Season / Saison,Magnitude,Constellation (EN),Constellation (FR),Constellation (Latin),RA (Right Ascension),Dec (Declinaison),Distance (l.y / a. l.),Size / Dimensions,Discoverer / Découvreur,Year / Année,Image,URL de l'image,Constellation
M85,NGC 4382,Galaxy / Galaxie,Spring / Printemps,9,Hair of Berenice,Chevelure de Bérénice,Coma Berenices,12.423363888888888,18.1915,41000000.0,"7,1' x 5,2'",Méchain,1781.0,http://www.lasam.ca/messier/M085.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6f5ba5b373b9d98409c648eccca69991,Com
M63,NGC 5055,Galaxy / Galaxie,Spring / Printemps,8,Hound Dogs,Les Chiens de chasse,Canes Venatici,13.263702777777779,42.02927777777778,23800000.0,"12,0' x 7,6'",Méchain,1779.0,http://www.lasam.ca/messier/M063.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6cc3be477870d7c2a23c13181ba4ce0c,CVn
M76,NGC 650,Planetary Nebula / Nébuleuse Planétaire,Autumn / Automne,10,Perseus,Persée,Perseus,1.7054694444444445,51.575472222222224,8200.0,65'',Méchain,1780.0,http://www.lasam.ca/messier/M076.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/10b05a2559cec6958f11f28d915602c4,Per
M80,NGC 6093,Globular Cluster / Amas Globulaire,Summer / Été,7,Scorpion,Scorpion,Scorpius,16.284030555555557,-21.024888888888892,36000.0,"5,1'",Messier,1781.0,http://www.lasam.ca/messier/M080.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/888d3682b7378784f02c2fbae70bdcfc,Sco
M93,NGC 2447,Open Cluster / Amas Ouvert,Winter / Hiver,6,"Stern,Poop deck",Poupe,Puppis,7.741452777777778,-22.146916666666666,3600.0,"22,0'",Messier,1781.0,http://www.lasam.ca/messier/M093.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6e8bd0766f6b700b69f752b705affb23,Pup
M74,NGC 628,Galaxy / Galaxie,Autumn / Automne,9,Fishes,Les Poissons,Pisces,1.6115972222222223,15.783666666666667,26000000.0,"10,0' x 9,6'",Méchain,1780.0,http://www.lasam.ca/messier/M074.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/366e8c3e374eec05b66820745c8bfddb,Psc
M89,NGC 4552,Galaxy / Galaxie,Spring / Printemps,9,Virgin,Vierge,Virgo,12.594391666666667,12.556333333333335,41000000.0,"4,2' x 4,2'",Messier,1781.0,http://www.lasam.ca/messier/M089.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7dfedc34971b44cb118da7a04dc35c9f,Vir
M37,NGC 2099,Open Cluster / Amas Ouvert,Winter / Hiver,5,Charioteer,Cocher,Auriga,5.871763888888889,32.553,3600.0,"24,0'",Hodierna,1654.0,http://www.lasam.ca/messier/M037.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7e17ed527b55fc1b1afad4bae9f26e47,Aur
M36,NGC 1960,Open Cluster / Amas Ouvert,Winter / Hiver,6,Charioteer,Cocher,Auriga,5.604927777777777,34.14075,3700.0,"12,0'",Hodierna,1654.0,http://www.lasam.ca/messier/M036.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9121fd0c5dbdb9e77449ba6122791371,Aur
M48,NGC 2548,Open Cluster / Amas Ouvert,Winter / Hiver,5,"Hydra, Sea Snake",Hydre,Hydra,8.228661111111112,-4.249555555555555,1500.0,42',Messier,1771.0,http://www.lasam.ca/messier/M048.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e8265fa1084e9c84c45892bc7bf6c67e,Hya
M104,NGC 4594,Galaxy / Galaxie,Spring / Printemps,8,Crow,Corbeau,Corvus,12.666508333333333,-10.376944444444444,40000000.0,"8,9' x 4,1'",Méchain,1781.0,http://www.lasam.ca/messier/M104.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/98ca6645bb15fb146eb24174c1385fe0,Crv
M105,NGC 3379,Galaxy / Galaxie,Spring / Printemps,9,Lion,Lion,Leo,10.797108333333334,12.58161111111111,21500000.0,"4,5' x 4,0'",Méchain,1781.0,http://www.lasam.ca/messier/M105.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/980658767f5f4f8f0257e06b67164cdd,Leo
M96,NGC 3368,Galaxy / Galaxie,Spring / Printemps,9,Lion,Lion,Leo,10.779372222222223,11.819944444444443,29300000.0,"7,1' x 5,1'",Méchain,1781.0,http://www.lasam.ca/messier/M096.JPG,https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/1bd1d0aa2825496929c004902ef49884,Leo
